datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-08-19,159678950.5128698,0.003257077399751361,8699611966.87106,0.2051555984837626,8654365.902432278,0.00020541156516005137,158825445.29284447,853505.2200253182,-0.003783524
2025-08-20,161611244.64529824,0.012259717083361462,8725013089.812904,0.1590762142427637,8679690.5274597,0.00015859714098872882,160936059.8791476,675184.7661506673,0.011372447
2025-08-21,161922975.31076965,0.002102137131097039,8752967555.671589,0.17297352000498822,8707688.860159984,0.00017324495434543858,161188055.19411233,734920.116657312,0.0039026737
2025-08-22,164737595.68185955,0.017546216954206852,8779468295.316532,0.16366262782710025,8734204.143743522,0.0001637524479317979,164000102.97158945,737492.7102701045,0.020972133
2025-08-25,169598190.20062652,0.02958023581608997,8791166806.831837,0.07101300384337692,8746586.553021643,7.516444092114646e-05,167505284.37400466,2092905.8266218535,0.020835996
2025-08-26,168940973.8092223,-0.0036848074431887774,8824024249.511326,0.19373698882411633,8778866.27082324,0.00019033055578842917,168035797.4561843,905176.3530380204,-0.0037209988
2025-08-27,167326443.5579206,-0.009392971090601793,8851757375.088865,0.16415867005038845,8806538.839116806,0.00016380021773057443,166570054.34112507,756389.2167955209,-0.014926076
2025-08-28,171645906.94082466,0.02594505509025069,8873664965.810053,0.1309272476923482,8828369.252378726,0.0001304660088252192,171065703.0558279,580203.8849967807,0.017703533
2025-08-29,174146032.7664741,0.014746433735106075,8904572809.127184,0.18006746486408556,8859408.41933434,0.0001808325494549386,173334220.7714681,811811.9950060062,0.0073883533
2025-09-01,176514894.62156704,0.013730472025515068,8926898418.58401,0.1282005056455314,8881653.795495901,0.0001277397814246562,175885794.59325203,629100.0283149956,0.005993247
2025-09-02,174729580.16936344,-0.00982941759569016,8976819651.882372,0.2828159822171926,8931929.636604877,0.00028482492209375913,173441540.36093345,1288039.808429977,-0.0073522925
2025-09-03,172894536.8833187,-0.01033651867117365,9005996469.540218,0.16698270338408464,8960877.354822665,0.00016567153763964615,172093643.67322394,800893.2100947574,-0.00681901
2025-09-04,167870732.788055,-0.028833636988442293,9044484979.299232,0.22261264267123063,8999503.136307897,0.00022340660486744568,166833921.90701255,1036810.8810424572,-0.021216035
2025-09-05,173135882.96966332,0.03152500702004012,9071606417.324972,0.161561444185639,9026478.984302292,0.00016069416953372643,172417227.99930742,718654.9703558842,0.02178824
2025-09-08,174065916.0068334,0.005611349655720007,9112898368.01268,0.23849447023609213,9067971.924426809,0.00023965534707665224,172986775.10297945,1079140.9038539622,0.0016254187
2025-09-09,172382258.21701944,-0.009445500660972682,9152418749.484617,0.22704261913277557,9107489.989545414,0.00022702931179849068,171347268.08494976,1034990.1320696892,-0.007008195
2025-09-10,172970866.24144527,0.0035479984665145394,9174014627.034029,0.12527900360966263,9130493.952927878,0.00013344739545935883,169142708.40665802,3828157.834787252,0.0020512342
2025-09-11,178804633.41908818,0.033934975499261374,9211373020.74479,0.21598084418801813,9166488.883274429,0.00020809822560699954,177739397.24306828,1065236.176019922,0.023095965
2025-09-12,178285990.5835549,-0.002680042581446282,9250806743.667994,0.22054083369740404,9205927.68748467,0.0002205692517922839,177250030.6376695,1035959.9458853807,-0.005723357
2025-09-15,179312697.68029875,0.005938505792371657,9282927449.827505,0.18016393803223696,9237972.978519978,0.0001797409371898424,178459613.2738584,853084.4064403409,0.002445817
2025-09-16,178982777.06889632,-0.0016414673456240157,9318456516.738987,0.19814027322720643,9273557.652024439,0.00019845038284965988,178054064.1499991,928712.9188971985,-0.0021442175
2025-09-17,180269523.17891425,0.007348974001894739,9347117980.214285,0.16013531550169877,9302151.317472754,0.00015975651912758512,179504999.9794342,764523.1994800707,0.0061192513
2025-09-18,177277968.29194453,-0.016424568857329024,9377788071.124886,0.17013464267146894,9332857.008112522,0.0001703321232468838,176472951.32476574,805016.9671787936,-0.011625946
2025-09-19,178934956.66108853,0.009516768529050772,9407906798.71302,0.16989549168644977,9362982.028503368,0.00016993098849844336,178147479.10887873,787477.5522097796,0.000846982
2025-09-22,179759755.94099936,0.004779536968138353,9438312039.78263,0.16992342713223774,9393408.988846442,0.00017004480796172316,178959266.8022123,800489.138787061,0.0045958757
2025-09-23,178546776.04004136,-0.006516018150680028,9479795886.111374,0.23077382427220686,9435071.05733108,0.00023176527063327893,177431504.65794942,1115271.3820919292,-0.00062572956
2025-09-24,180413913.11958873,0.010653433926693344,9514866032.552282,0.1964199366615475,9470070.259150399,0.00019602259192554822,179475530.18249044,938382.9370982796,0.010241628
2025-09-25,181717789.53001806,0.007415203045472525,9546501853.38371,0.17535133673675424,9503999.64673106,0.0001880641409189476,176226202.48203942,5491587.047978647,0.006005168
2025-09-26,180974559.91682124,-0.0038831619813692827,9586235848.068665,0.2186577042771589,9541589.648286449,0.0002068592274460794,179808549.12953576,1166010.7872854853,-0.009456813
