datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-05-20,144960944.45745248,0.004350759197283909,6777296928.488079,0.1787252519376121,6732743.353505157,0.0001769162545127634,140800837.77680415,4160106.680648334,0.0054215193
2025-05-21,145089853.4326952,0.0010639256107921552,6802672703.770087,0.17505249691206462,6758062.039635326,0.0001746586725474884,141069243.7418545,4020609.6908407127,0.0046714544
2025-05-22,145472435.4692311,0.0028566720232619165,6834143516.07298,0.21690567299036853,6789954.128259789,0.00021980922766082764,140641165.22387016,4831270.24536095,-0.00064086914
2025-05-23,143969263.67475253,-0.010146749030464922,6861455181.400419,0.1877446076938473,6817053.629181563,0.00018628615678539006,139589421.74164432,4379841.933108214,-0.008073866
2025-05-26,144194556.73385206,0.0017442337421329345,6887389522.159603,0.18013803847586055,6842876.6176135745,0.00017936459333673781,140063242.44352382,4131314.290328241,-0.005708039
2025-05-27,142616960.34746942,-0.010765487952037866,6912705878.949932,0.1755708215606002,6868148.240728489,0.00017526059018690892,138600385.031086,4016575.3163834214,-0.0053651333
2025-05-28,142124030.03542563,-0.0033044884432153537,6933026596.806247,0.14248458112419185,6889802.45549756,0.00015183477979276115,135462115.10830042,6661914.927125212,-0.00082302094
2025-05-29,144394249.18182424,0.016151632910822226,6959716801.89767,0.18779516092226115,6915118.470037824,0.0001781262080307828,140506031.3715575,3888217.8102667225,0.005854726
2025-05-30,143160519.17975792,-0.008398308853546347,6980989556.515721,0.1473241125501088,6936180.970799246,0.0001458680029209473,139713871.58351225,3446647.5962456753,-0.0047866106
2025-06-03,143765839.52700987,0.004388813162847395,7002298255.550599,0.14884480132488026,6959165.394523483,0.000160550016554332,136990726.97577605,6775112.5512338355,0.0030674934
2025-06-04,145195195.74835354,0.010103986516383128,7025558704.917425,0.16179399392340363,6982417.277277225,0.0001617344066590555,138460468.30604112,6734727.442312408,0.0043432713
2025-06-05,145892273.55025798,0.004979689895698558,7051220959.205843,0.17674313641130798,7008366.524544835,0.00017871973748073995,138609509.39682636,7282764.153431624,0.0022797585
2025-06-06,145824473.45022932,-0.0002508306112020895,7081793015.683173,0.20955226574626334,7039572.376429225,0.00021389653560810552,137305324.33456874,8519149.115660567,-0.00092321634
2025-06-09,146817870.09292352,0.006950028561023566,7101168782.581541,0.13287047393303933,7059659.989110337,0.00013775199872720494,136895117.02445325,9922753.068470284,0.0029091835
2025-06-10,146047087.91788074,-0.005080823516091516,7126937308.109684,0.17551354962330942,7084486.47720252,0.00016909718194706155,138033236.20942354,8013851.708457205,-0.0050911307
2025-06-11,146452919.48495552,0.0029627019226474475,7155654312.310651,0.19662839300920407,7111348.89829911,0.0001839298645358443,142175096.40634936,4277823.078606166,0.007543683
2025-06-12,147011386.9025035,0.003974351349290908,7179454760.703338,0.16251262505648964,7134936.838913765,0.0001610615937026627,143182167.32057422,3829219.5819292706,-0.0006239414
